"M","D","ɛ","R"
1.7916e25,4.5466362919405464e10,1.0e-18,1.2466777242258191e7
1.7916e25,5.329122843832614e10,1.0e-18,1.2284159577533603e7
1.7916e25,6.246277129094356e10,1.0e-18,1.2101971498563886e7
1.7916e25,7.32127577404232e10,1.0e-18,1.1955255607932806e7
1.7916e25,8.581284155631276e10,1.0e-18,1.1809839879497886e7
1.7916e25,1.0058142874603061e11,1.0e-18,1.1672791569173336e7
1.7916e25,1.1789172372242242e11,1.0e-18,1.1571569950476289e7
1.7916e25,1.3818116023523352e11,1.0e-18,1.1473565472885966e7
1.7916e25,1.6196245538755908e11,1.0e-18,1.1377973613522947e7
1.7916e25,1.8983656607392163e11,1.0e-18,1.1297051347360015e7
1.7916e25,2.2250787525111063e11,1.0e-18,1.120309181882441e7
1.7916e25,2.608019918011185e11,1.0e-18,1.1130752238854766e7
1.7916e25,3.056866137913986e11,1.0e-18,1.1059046582996845e7
1.7916e25,3.582959823501277e11,1.0e-18,1.0576158454932272e7
1.7916e25,4.199595441095997e11,1.0e-18,1.050701653264463e7
1.7916e25,4.922355465219763e11,1.0e-18,1.0455173515483737e7
