NAME,PER,R,SEP,DATE,PLANETDISCMETH,MASS,MSINI
# ,day,rearth,au,,,mearth,mearth
Kepler-702 b,10.52629406,9.168946237907841,0.0907551,2016,Transit,168.91476172541928,
Kepler-26 d,3.543919,1.0699980915946756,0.0454914,2014,Transit,1.1798433192728732,
Kepler-159 b,10.139623,2.379991669619479,0.0916828,2014,Transit,5.820461640052224,
HD 156668 b,4.6455,,0.0499846,2011,RV,4.150112875364066,4.150112875364066
MOA-2009-BLG-387L b,1970,,1.76808,2011,Microlensing,826.3231897157779,
Kepler-1045 b,26.41045478,2.690155375425283,0.165053,2016,Transit,7.017962850256101,
Kepler-905 b,5.08274652,1.4123315720982736,0.0568739,2016,Transit,3.068490779853369,
Kepler-763 b,1.19655156,1.2217788996723162,0.0208123,2016,Transit,1.8764274118710453,
Kepler-1376 b,5.30880656,1.053644188708236,0.059158,2016,Transit,1.1170141533594455,
Kepler-32 f,0.74296,0.8192677643185274,0.0130732,2012,Transit,0.4564196138395099,
WASP-103 b,0.925542,17.127322556874304,0.0198682,2014,Transit,472.8825143115396,471.8972828161092
Kepler-990 c,0.53835431,1.5244213794076606,0.0131638,2016,Transit,3.9492845586019882,
Kepler-221 e,18.369917,2.6299967758423355,0.136253,2014,Transit,6.762533639650497,
Kepler-1028 b,2.51462432,1.333868706981703,0.0349411,2016,Transit,2.5324040760269155,
Kepler-256 c,3.38802,2.149994594001348,0.0441473,2014,Transit,5.101306211710353,
GJ 649 b,598.3,,1.13179,2010,RV,103.39877417896956,103.39877417896956
Kepler-1333 b,109.6471842,2.8134541634656087,0.439185,2016,Transit,7.5800533092296885,
Kepler-276 b,14.12841,2.869992262272463,0.114376,2014,Transit,7.856045254594757,
Kepler-1042 b,10.13202575,2.1857512425330428,0.0832577,2016,Transit,5.204977990358541,
Kepler-264 c,140.101261,2.829998619024474,0.52792,2014,Transit,7.659602807070402,
HD 132406 b,974,,1.98227,2007,RV,1781.3462162297878,1781.3462162297878
Kepler-143 b,16.007583,2.409998111036202,0.124306,2014,Transit,5.924069855378126,
Kepler-1225 b,7.01075434,1.8158548784120663,0.0746694,2016,Transit,4.250574706236819,
Kepler-189 c,20.134866,2.379991669619479,0.144846,2014,Transit,5.820461640052224,
HD 38529 c,2146.0503,,3.6002,2003,RV,3896.5270011047505,3896.5270011047505
Kepler-62 b,5.714932,1.308827844028786,0.0552794,2011,Transit,0,
Kepler-281 b,14.646008,2.8200002082124764,0.117153,2014,Transit,7.611421808777744,
Kepler-1006 b,19.76172042,1.5356303601385994,0.13168,2016,Transit,3.6594993723008935,
Kepler-196 c,47.427737,2.239991500290055,0.256426,2014,Transit,5.367731877071407,
Kepler-238 c,6.155557,2.390001289412207,0.0657332,2014,Transit,5.854754052425429,
Kepler-49 c,10.9129343,2.5477228572772455,0.07889,2011,Transit,6.432004363764185,
Kepler-55 c,42.1516418,2.2080234872454176,0.202122,2013,Transit,5.270988500552375,
Kepler-791 b,14.5539759,3.0488427588153213,0.127324,2016,Transit,8.810353193733052,
WASP-19 b,0.78884,15.535647293081011,0.0163152,2010,Transit,360.21016922767893,354.06359596263934
